きつい	きつい きつい intense; severe; hard; determined; forceful; formidable; strong; tight; close
鼠	鼠 ねずみ mouse; rat; dark gray; dark grey; slate (color, colour)
お互い	お互い おたがい mutual; reciprocal; each other
ノック	ノック ノック knock; knocking; fungo hitting; hitting balls for fielding practice
切れる	切れる きれる to break; to snap; to be cut; to split; to crack; to be injured; to wear out; to be worn out; to break; to burst; to collapse; to wear off; to stop working; to go dead; to expire (time limit, etc.); to run out; to become due; to run out (of stock, etc.); to be exhausted; to be used up; to be sold out; to be out of; to be broken off (e.g. of a relationship); to break up; to have severed ties; to be cut off; to be disconnected; to cut well; to be sharp; to be sharp-minded; to be keen; to be shrewd; to be quick-witted; to be able; to be short of; to drop under (a certain figure); to beat (e.g. a record time); to dry off; to curve; to veer; to shuffle (cards); to get angry; to snap; to blow one's top; to lose one's temper; to flip; to be able to do completely
進める	進める すすめる to advance; to promote; to hasten
かわいらしい	かわいらしい かわいらしい lovely; sweet
わがまま	わがまま わがまま selfishness; egoism; self-indulgence; wilfulness; willfulness; disobedience; whim
およそ	およそ およそ about; roughly; approximately; generally; on the whole; as a rule; completely; quite; entirely; altogether; totally; not at all (with neg. verb); outline; gist
売れる	売れる うれる to sell (well); to be well known; to be popular; to be famous
違いない	違いない ちがいない (phrase) sure; no mistaking it; for certain
輝く	輝く かがやく to shine; to glitter; to sparkle
節	節 ふし joint; knuckle; tune; melody; knot (in wood); node in a bamboo stem; part; notable characteristic
なぜなら	なぜなら なぜなら because; the reason is; if you want to know why
沈む	沈む しずむ to sink; to go under; to submerge; to go down (e.g. sun); to set; to descend; to feel depressed
逆らう	逆らう さからう to go against; to oppose; to disobey; to defy
抜ける	抜ける ぬける to come out; to fall out; to be omitted; to be missing; to escape; to come loose; to fade; to discolour; to wear a hole (e.g. clothes); to leave (e.g. a meeting); to be clear; to be transparent (e.g. of the sky); to be stupid; to be absentminded; to be careless; to be inattentive; to exit (a program loop)
酔う	酔う よう to get drunk; to become intoxicated; to feel sick (e.g. in a vehicle); to become nauseated; to be elated; to be exalted; to be spellbound; to be in raptures
スピーチ	スピーチ スピーチ speech
一度に	一度に いちどに all at once
増す	増す ます to increase; to grow
パーセント	パーセント パーセント percent; percentage
褒める	褒める ほめる to praise; to admire; to speak well of someone
知らせ	知らせ しらせ news; word; tidings; notice; notification; information; omen
しばしば	しばしば しばしば (blinking) repeatedly
じっと	じっと じっと motionlessly (e.g. stand, wait); (be) still; fixedly (e.g. gaze, stare); intently (e.g. listen, think); patiently (endure); stoically; firmly (e.g. hold); restrained
ユーモア	ユーモア ユーモア humor; humour
幼い	幼い おさない very young; childish; immature
覚ます	覚ます さます to awaken; to disabuse; to sober up
明後日	明後日 あさって day after tomorrow
譲る	譲る ゆずる to turn over; to assign; to hand over; to transmit; to convey; to sell; to dispose of; to yield; to surrender; to concede
辛い	辛い つらい painful; bitter; heart-breaking; difficult (emotionally); tough; difficult; hard (usu. of situations); cruel; harsh; cold
うがい	うがい うがい gargling; rinsing one's mouth
大した	大した たいした considerable; great; important; significant; a big deal
がっかり	がっかり がっかり feel disappointed; dejected; lose heart; feel emotionally drained; feel let down
打つ	打つ ぶつ to hit (a person); to strike; to beat
紐	紐 ひも string; cord; man who is financially dependent on a woman (such as a gigolo or, in the case of a prostitute, a pimp); pimp
苦しむ	苦しむ くるしむ to suffer; to groan; to be worried
通す	通す とおす to stick through; to force through; to spread throughout; to thoroughly diffuse; to make a path between two points; to proceed in a logical manner; to let pass; to allow through; to lead (someone) into (a house, room, etc.); to show in; to go through (a middleman); to (look, listen) through (a window, wall, etc.); to pass (a law, applicant, etc.); to force to accept; to force agreement; to continue (in a state); to persist in; to do to the entirety of; to cover all of; to span the whole ...; to do from beginning to end without a break; to convey (one's ideas, etc.) to the other party; to do to the end; to carry through; to complete
効く	効く きく to be effective; to show effect; to do its work; to carry out its function well; to be possible to use
ぐっすり	ぐっすり ぐっすり sound asleep; fast asleep
